abr	ko	entrez
aag	K00181	AaeL_AAEL014596
aag	K00444	AaeL_AAEL014566
aag	K00445	AaeL_AAEL000618
aag	K00572	AaeL_AAEL008277
aag	K00572	AaeL_AAEL015250
aag	K01064	AaeL_AAEL000632
aag	K01064	AaeL_AAEL010739
aag	K01357	AaeL_AAEL000600
aag	K01691	AaeL_AAEL011386
aag	K02105	AaeL_AAEL002887
aag	K02157	AaeL_AAEL003388
aag	K02306	AaeL_AAEL000993
aag	K02353	AaeL_AAEL008234
aag	K02354	AaeL_AAEL008322
aag	K02375	AaeL_AAEL006778
aag	K02432	AaeL_AAEL009986
aag	K02432	AaeL_AAEL013160
aag	K02677	AaeL_AAEL001108
aag	K03068	AaeL_AAEL009806
aag	K03083	AaeL_AAEL005238
aag	K03094	AaeL_AAEL009160
aag	K03094	AaeL_AAEL010651
aag	K03094	AaeL_AAEL010692
aag	K03097	AaeL_AAEL012094
aag	K03115	AaeL_AAEL017447
aag	K03209	AaeL_AAEL010740
aag	K03209	AaeL_AAEL000599
aag	K03213	AaeL_AAEL014048
aag	K03347	AaeL_AAEL013530
aag	K03347	AaeL_AAEL008008
aag	K03362	AaeL_AAEL003371
aag	K03868	AaeL_AAEL004691
aag	K04345	AaeL_AAEL007293
aag	K04345	AaeL_AAEL001976
aag	K04348	AaeL_AAEL008930
aag	K04392	AaeL_AAEL009732
aag	K04392	AaeL_AAEL015271
aag	K04392	AaeL_AAEL006786
aag	K04427	AaeL_AAEL007035
aag	K04440	AaeL_AAEL008634
aag	K04440	AaeL_AAEL008622
aag	K04448	AaeL_AAEL003505
aag	K04468	AaeL_AAEL004797
aag	K04468	AaeL_AAEL012269
aag	K04491	AaeL_AAEL000656
aag	K04496	AaeL_AAEL005400
aag	K04497	AaeL_AAEL010433
aag	K04498	AaeL_AAEL017391
aag	K04499	AaeL_AAEL004686
aag	K04501	AaeL_AAEL013896
aag	K04505	AaeL_AAEL017503
aag	K04506	AaeL_AAEL009614
aag	K04507	AaeL_AAEL013314
aag	K04508	AaeL_AAEL003539
aag	K04510	AaeL_AAEL006801
aag	K04511	AaeL_AAEL006891
aag	K04512	AaeL_AAEL013920
aag	K04513	AaeL_AAEL013139
aag	K04515	AaeL_AAEL013823
aag	K04515	AaeL_AAEL013824
aag	K04690	AaeL_AAEL006832
aag	K05858	AaeL_AAEL010124
aag	K05858	AaeL_AAEL009380
aag	K05858	AaeL_AAEL017393
aag	K06268	AaeL_AAEL010470
aag	K08110	AaeL_AAEL000433
aag	K08957	AaeL_AAEL007662
aag	K08960	AaeL_AAEL002226
aag	K10151	AaeL_AAEL011648
aag	K19882	AaeL_AAEL000104
aam	K00182	106485278
aam	K00182	106488127
aam	K00312	106487677
aam	K00312	106496691
aam	K00408	106498597
aam	K00408	106497177
aam	K00444	106488861
aam	K00444	106495159
aam	K00444	106495160
aam	K00445	106499139
aam	K00572	106488789
aam	K00572	106488582
aam	K00714	106487185
aam	K00714	106497783
aam	K00714	106497826
aam	K00714	106497827
aam	K01064	106487678
aam	K01064	106496688
aam	K01357	106499075
aam	K01384	106495859
aam	K01384	106486175
aam	K01397	106495507
aam	K01558	106495936
aam	K01645	106496067
aam	K01691	106488734
aam	K02085	106486559
aam	K02085	106495024
aam	K02105	106491208
aam	K02157	106482339
aam	K02165	106492112
aam	K02166	106487771
aam	K02176	106492113
aam	K02185	106489010
aam	K02185	106486358
aam	K02222	106485090
aam	K02235	106497300
aam	K02329	106488031
aam	K02353	106483786
aam	K02353	106495571
aam	K02353	106483810
aam	K02354	106490826
aam	K02375	106492344
aam	K02375	106492346
aam	K02375	106489949
aam	K02376	106494464
aam	K02432	106492348
aam	K02432	106483510
aam	K02620	106487174
aam	K02677	106493092
aam	K02842	106489900
aam	K02842	106496098
aam	K03068	106488638
aam	K03068	106493058
