			K00181	K03209	K00182	K00312	K00408	K00444	K00445	K00572	K00714	K01064	K01357	K01384	K01558	K01645	K19882	K01691	K19614	K16834	K02165	K02166	K02176	K02185	K02222	K02306	K02432	K02235	K02329	K02354	K02375	K02376	K02842	K04690	K03068	K10162	K08960	K02353	K03069	K03096	K03097	K03115	K03213	K03344	K03345	K03083	K02105	K02157	K04385	K02085	K08957	K02620	K04490	K04491	K04492	K04493	K04494	K04495	K04496	K04497	K04498	K04499	K04501	K04427	K04468	K04377	K04448	K04502	K04503	K10151	K10152	K04504	K01397	K04505	K04345	K04451	K04506	K04507	K03094	K04508	K03362	K03347	K03868	K08110	K04510	K04511	K19626	K04512	K04513	K17388	K04392	K07860	K07861	K04440	K05858	K04515	K04348	K06268	K02677	K19662	K19663	K04446
			(PORCN)[130]	(WNT1)[125]	(WNT2)[174]	(WNT3)[165]	(WNT4)[135]	(WNT5)[220]	(WNT6)[118]	(WNT7)[224]	(WNT8)[189]	(WNT9)[179]	(WNT10)[187]	(WNT11)[136]	(WNT16)[98]	(CER1)[76]	(NOTUM)[168]	(WIF1)[108]	(SERPINF1)[80]	(SOST)[71]	(DKK)[216]	(SFRP1)[83]	(SFRP2)[102]	(SFRP4)[71]	(SFRP5)[87]	(DALLY)[32]	(FZD1_7)[230]	(FZD2)[82]	(FZD3)[91]	(FZD4)[119]	(FZD5_8)[208]	(FZD6)[79]	(FZD9_10)[186]	(FZDN)[16]	(LRP5_6)[242]	(BAMBI)[100]	(CSNK1E)[124]	(DVL)[292]	(FRAT1)[40]	(FRAT2)[47]	(CSNK2A)[260]	(CSNK2B)[195]	(NKD)[162]	(IDAX)[76]	(SENP2)[87]	(GSK3B)[164]	(CTNNB1)[152]	(AXIN1)[143]	(AXIN2)[93]	(APC)[216]	(CSNK1A)[225]	(TCF7)[68]	(TCF7L1)[86]	(TCF7L2)[134]	(LEF1)[83]	(ICAT)[76]	(CHD8)[72]	(SOX17)[75]	(CTBP)[258]	(GROUCHO)[27]	(EP300)[265]	(RUVBL1)[132]	(SMAD4)[182]	(MAP3K7)[161]	(NLK)[151]	(MYC)[133]	(JUN)[152]	(FOSL1)[58]	(CCND1)[87]	(CCND2)[151]	(CCND3)[66]	(NR1C2)[83]	(MMP7)[62]	(PSEN1)[135]	(PKA)[306]	(TP53)[75]	(SIAH1)[208]	(CACYBP)[131]	(SKP1)[281]	(TBL1)[248]	(FBXW1_11)[226]	(CUL1)[155]	(RBX1)[178]	(GPC4)[114]	(VANGL)[224]	(PRICKLE)[247]	(INVS)[100]	(DAAM)[220]	(RHOA)[242]	(ROCK2)[111]	(RAC1)[280]	(RAC2)[80]	(RAC3)[75]	(JNK)[303]	(PLCB)[447]	(CAMK2)[439]	(PPP3C)[348]	(PPP3R)[193]	(PRKCA)[164]	(PRKCB)[98]	(PRKCG)[70]	(NFATC1)[93]
E.Ani	Homo	hsa	64840	7471	7472	7473	54361	7474	7475	7476	7478	7483	7480	7481	51384	9350	147111	11197	5176	50964	22943	6422	6423	6424	6425		8321	2535	7976	8322	7855	8323	11211		4041	25805	1454	1857	10023	23401	1457	1460	85407	80319	59343	2932	1499	8312	8313	324	122011	6932	83439	6934	51176	56998	57680	64321	1487		1387	8607	4089	6885	51701	4609	3725	8061	595	894	896	5467	4316	5663	5566	7157	6477	27101	6500	6907	8945	8454	9978	2239	57216	144165	27130	23002	387	9475	5879	5880	5881	5599	23236	815	5530	5534	5578	5579	5582	4772
					7482	89780		81029		7477	7479	7484	80326								27123						8324				8325		8326		4040		102800317	1856			1459		85409							10297	1452								1488		2033														5567					90665	23291				81839	166336		23500						5602	5330	817	5532	5535				
																					27121																	1855			283106																																		5568					79718														5601	5331	816	5533					
																																																																																															5332	818						
E.Ani	Pan	ptr	465615	742674	463673	468297	469212	467191	742467	104003805	471645	468296	451870	451431	737375	473172	100609059	467056	468137	740261	450465	736186	742398	463356	466173		463524	454731	472726	466732	470627	464327	467160		451380	745034	458829	460882	466169	466170	454131	744778	461692	471261	460902	100616510	450183	453789	468301	461999	467264	745839	744526	450743	461425	749394	739837	740572	450810		467891	460670	468537	462888	739132	464393	456893	745919	747442	747123	462689	463188	451509	739740	469367	455214	465153	457537	462063	471003	450685	463821	458860	473788	457149	451838	473146	462670	461014	470307	741907	742575	747131	450445	453330	461445	742406	736325	454832	453993	456276	455485
					457103	100615247		460458		749914	466182	469697	459952								745875						459881				466040		472405		465295			455236			458448		465164							455551	462182								738792		458862														472944		473557			741354	462263	107971643			745757	465217		467472			107971891			461358	458093	462189	461403	100613118				
						107966366						107969026									737321						107966303											457191			458027																																		455776		107972639			465981														462336	469875	738330	450898					
																																																																											107966260																				451290	738167						
E.Ani	Pan	pps	100975031	100995465	100990322	100977143	100992168	100975676	100987794	100977315	100969578	100993261	100995123	100989115	100985948	100982792	100981289	100988072	100981201	100988982	100975926	100967709	100994416	100967992	100995120		100983788	100994538	100984879	100984214	100977034	100980889	100977692		100994237	100975118	100975570	100977837		100980813	100968167	100967425	100992786	100970652	100987597	100972306	100982035	100986279	100990800	100992823	100988309	100980839	100968002	100978424	100995847	100990072	100990291	100969672	100976410		100983185	100980141	100991127	100974026	100979222	103786410	100980908	100990915	100995605	100990850	100972595	100968408	100969359	100969213	100982589	100973941	100985136	100977850	100981953	100974072	100977066	100972042	100981636	100980512	100995324	100978097	100988368	100974544	100995642	100969111	100989777	100993959	100988790	100984173	100978643	100986246	100976831	100995767	100967981	100970296	100990245	100974281
