Ortholog table																																		
																																		
PATHWAY: 04330 																																		
																																		
   All   Eukaryotes   Prokaryotes   Animals   Plants   Fungi   Protists   Bacteria   Archaea    																																		
Grp	Genus	Organism																																
			K06051	K06052	K21635	K05948	K02599	K20994	K20995	K20996	K06053	K06054	K06055	K06056	K02353	K06057	K06058	K06059	K04505	K04522	K06060	K06170	K06171	K06172	K06061	K04498	K06062	K06063	K06064	K04496	K04497	K06065	K06066	K06067
			(DLL)[307]	(JAG1)[133]	(JAG2)[80]	(FNG)[292]	(NOTCH1)[424]	(NOTCH2)[86]	(NOTCH3)[58]	(NOTCH4)[49]	(RBPSUH)[218]	(HES1)[153]	(HES5)[182]	(PTCRA)[58]	(DVL)[291]	(NUMBL)[204]	(DTX)[498]	(ADAM17)[147]	(PSEN1)[134]	(PSEN2)[81]	(PSENN)[6]	(PSENEN)[115]	(NCSTN)[126]	(APH1A)[199]	(MAML)[258]	(EP300)[264]	(PCAF)[225]	(SNW1)[146]	(HAIRLESS)[17]	(CTBP)[257]	(GROUCHO)[27]	(NCOR2)[87]	(CIR)[135]	(HDAC1_2)[249]
E.Ani	Homo	hsa	10683	182	3714	4242	4851	4853	4854	4855	11317	3280	388585	171558	1857	8650	113878	6868	5663	5664		55851	23385	51107	55534	1387	8850	22938		1487		9612	9541	3065
			28514			3955					3516				1856	9253	151636							83464	84441	2033	2648			1488				3066
			54567			5986									1855		1840								9794									
																	196403																	
																	23220																	
E.Ani	Pan	ptr	453344	748073	453210	472272	464865	457173	455792	462587	469952	460942	469463	462701	460882	468884	747633	459018	739740	457790		455962	457435	457270	471772	467891	460219	453073		450810		467150	738618	748850
			465121			458811					461152		107973860		455236	453014	451210							467700	471311	458862	454677			738792				462950
			736571			747153									457191		745441								739180									
			107972440														470902																	
																	100615650																	
																	739385																	
E.Ani	Pan	pps	100989211	100984049	100991209	100977920	100973648	100992229	100984306	100988436	100969592	100975593		100993935	100977837	100986743	100985610	100988650	100969213	100975191		100974103	100993676	100982207	100984275	100983185	100979198	100967493		100976410		100985782	100989637	100978715
			100973086			100995551					100986827				100991559	100970152	100978309							100969832	100982217	100984888	100984656			100983301				100980497
			100981817			100980961									100986952		100969516								100976416									
																	100971144																	
																	103782922																	
E.Ani	Gorilla	ggo	101126422	101129307	101132154	101150690	101151474	101149786	101134343	101150579	101138918	101137927	101133321	101143479	101145045	101149149	101144062	101152705	101137687	101137786		101151560	101134867	101133923	101128936	101153383	101125556	101153091		101145130		101150299	101129246	101151959
			101123716			101145692	109024942				101138720				101146042	101133960	101134428							101149951	101138317	101144808	101145647			101134088				101153607
			101154591			101151337									101141318		101131282								101147648	101136970								109023024
																	101144173																	
																	101145093																	
																	109027642																	
E.Ani	Pongo	pon	100437589	100431986	100447370	100453406	100449179	100447628	100454773	100436768	100137043	100455979		100431493	100448038	100172833	100171717	100439426	100173083	100172138		100438950	100172503	100441729	100450331	100455260	100447160	100174597		100461333		103892154	100448020	100172663
			100436112			100433262					100445052				100454488	100452926	100436680							100171910	100446258	100445634	100434727			100457735				100294534
			100436254			100457821									100454011		100447071								100456243									
																	100445005																	
																	100460956																	
E.Ani	Nomascus	nle	100592674	100590989	100588659	100590152	100602494	100584613	100590691	100600732	100595868	100603131		100603543	100585595	100585849	100606949	100605134	100586383	100596029		100580026	100596812	100595057	100582822	100589381	100584880	100602374		100603170		100581656	100579403	100591684
			100587621			100603704					100594552				100593186	100587041	100588548							100600216	100588308	100596998				100601461				100591033
			100606767			100599575									100583216		100601501								100597146									
																	100595555								100607917									
																	100599997																	
																	100598256																	
E.Ani	Macaca	mcc	697453	718580	708991	699530	709947	713798	719119	717323	694601	707140	694929	697470	714381	696528	715175	694429	696274	698770		100429005	719696	706483	697863	706258	698283	641448		694507		706261	698068	708441
			704898			100428736					717625				100423838	703485	700410							705718	700074	704331	706004			695124				694662
			714731			719330									705864		714914								715047									
																	719916																	
																	714297																	
E.Ani	Macaca	mcf	102115332	102132875	102119283	101865860	102138307	101864989	102120202	101866845	102141177	102146862	102143983	102135666	102138928	102116110	102140852	102116784	102138674	102117766		102145886	101865834	101865043	102121017	102135037	102115185	101864794		102121365		102140503	102115617	102125039
			102145271			102122259					102120862				102143975	101867205	102135171							101925481	102142627	102131731	102142689	102130011		102117103				102140882
			102125764			102132366									102130032		101864793								101866936					102127640				102125090
																	102141022																	
