XP_015777099.1	Signal transduction mechanisms
XP_015747584.1	Intracellular trafficking, secretion, and vesicular transport
XP_015755009.1	Signal transduction mechanisms
XP_015751194.1	Signal transduction mechanisms
XP_015760452.1	Intracellular trafficking, secretion, and vesicular transport
XP_015752055.1	Signal transduction mechanisms
XP_015764511.1	Amino acid transport and metabolism
XP_015753418.1	Multiple classes
XP_015760274.1	Amino acid transport and metabolism
XP_015754475.1	Lipid transport and metabolism
XP_015778230.1	Signal transduction mechanisms
XP_015747552.1	Lipid transport and metabolism
XP_015747257.1	Signal transduction mechanisms
XP_015771770.1	Carbohydrate transport and metabolism
XP_015751184.1	Signal transduction mechanisms
XP_015759919.1	Signal transduction mechanisms
XP_015759836.1	Extracellular structures
XP_015757345.1	Posttranslational modification, protein turnover, chaperones
XP_015774209.1	Multiple classes
XP_015748854.1	Replication, recombination and repair
XP_015759938.1	Signal transduction mechanisms
XP_015779773.1	Inorganic ion transport and metabolism
XP_015764202.1	RNA processing and modification
XP_015749987.1	Signal transduction mechanisms
XP_015778661.1	Cell cycle control, cell division, chromosome partitioning
XP_015777219.1	Signal transduction mechanisms
XP_015775023.1	Transcription
XP_015751772.1	Multiple classes
XP_015750817.1	Multiple classes
XP_015774747.1	Intracellular trafficking, secretion, and vesicular transport
XP_015780350.1	Signal transduction mechanisms
XP_015771997.1	Posttranslational modification, protein turnover, chaperones
XP_015765124.1	Translation, ribosomal structure and biogenesis
XP_015752416.1	Signal transduction mechanisms
XP_015747189.1	Posttranslational modification, protein turnover, chaperones
XP_015766596.1	Translation, ribosomal structure and biogenesis
XP_015775269.1	Signal transduction mechanisms
XP_015772285.1	Posttranslational modification, protein turnover, chaperones
XP_015752079.1	Signal transduction mechanisms
XP_015780001.1	Signal transduction mechanisms
XP_015750779.1	Replication, recombination and repair
XP_015770385.1	Signal transduction mechanisms
XP_015754900.1	Intracellular trafficking, secretion, and vesicular transport
XP_015774807.1	Carbohydrate transport and metabolism
XP_015757694.1	Inorganic ion transport and metabolism
XP_015779436.1	Signal transduction mechanisms
XP_015769426.1	Lipid transport and metabolism
XP_015769426.1	Signal transduction mechanisms
XP_015773052.1	Translation, ribosomal structure and biogenesis
XP_015770878.1	Signal transduction mechanisms
XP_015776233.1	Lipid transport and metabolism
XP_015752352.1	Signal transduction mechanisms
XP_015765568.1	Cell wall/membrane/envelope biogenesis
XP_015770010.1	Amino acid transport and metabolism
XP_015751706.1	Extracellular structures
XP_015766245.1	Signal transduction mechanisms
XP_015764836.1	Cytoskeleton
XP_015779821.1	Multiple classes
XP_015751386.1	Signal transduction mechanisms
XP_015758512.1	Signal transduction mechanisms
XP_015779311.1	Transcription
XP_015753225.1	RNA processing and modification
XP_015773945.1	Multiple classes
XP_015774597.1	Intracellular trafficking, secretion, and vesicular transport
XP_015775216.1	Extracellular structures
XP_015777633.1	RNA processing and modification
XP_015779575.1	Amino acid transport and metabolism
XP_015779082.1	Posttranslational modification, protein turnover, chaperones
XP_015779082.1	Cytoskeleton
XP_015775086.1	RNA processing and modification
XP_015753608.1	Signal transduction mechanisms
XP_015778196.1	Multiple classes
XP_015767597.1	Signal transduction mechanisms
XP_015752306.1	Signal transduction mechanisms
XP_015764515.1	Multiple classes
XP_015768723.1	Signal transduction mechanisms
XP_015771569.1	Posttranslational modification, protein turnover, chaperones
XP_015758514.1	Multiple classes
XP_015762816.1	Signal transduction mechanisms
XP_015771411.1	Signal transduction mechanisms
XP_015780521.1	Signal transduction mechanisms
XP_015765550.1	Cytoskeleton
XP_015761167.1	Posttranslational modification, protein turnover, chaperones
XP_015773349.1	Extracellular structures
XP_015768774.1	Signal transduction mechanisms
XP_015757861.1	Posttranslational modification, protein turnover, chaperones
XP_015773083.1	Multiple classes
XP_015773083.1	Signal transduction mechanisms
XP_015757161.1	Multiple classes
XP_015757161.1	Signal transduction mechanisms
XP_015763834.1	Nucleotide transport and metabolism
XP_015775060.1	Extracellular structures
XP_015756302.1	Signal transduction mechanisms
XP_015772584.1	Multiple classes
XP_015772584.1	Coenzyme transport and metabolism
XP_015750866.1	Lipid transport and metabolism
XP_015777162.1	Multiple classes
XP_015777162.1	Signal transduction mechanisms
XP_015771722.1	Signal transduction mechanisms
XP_015760736.1	Transcription
XP_015750566.1	Inorganic ion transport and metabolism
XP_015762297.1	Lipid transport and metabolism
XP_015750125.1	Multiple classes
XP_015770015.1	Posttranslational modification, protein turnover, chaperones
XP_015756555.1	Amino acid transport and metabolism
XP_015779924.1	Replication, recombination and repair
XP_015756554.1	Posttranslational modification, protein turnover, chaperones
