AdigNCBI_PRO	Acervicorn_PRO	Adigitifer_PRO	Aelegantis_PRO	Ahyacinthu_PRO	Amillepora_PRO	Apallida_PRO	Apalmata_PRO	Atenuis_PRO	Fscutaria_PRO	Mauretenra_PRO	Mcavernosa_PRO	Nvectensis_PRO	Ofaveolata_PRO	Pastreoide_PRO	Paustralie_PRO	Pcarnosus_PRO	Pdaedalea_PRO	Pdamicorni_PRO	Plobata_PRO	Pstrigosa_PRO	Shystrix_PRO	Spistillat_PRO	Ssiderea_PRO
XP_015765351.1	GASU01083438.1	NA	NA	NA	c004995	NA	Contig_1138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	c56930_g1_i1	comp50971_c0_seq1	NA	NA	NA
XP_015748660.1	GASU01031098.1	adi_EST_assem_1126	comp24701_c0_seq1	NA	c008691	Locus_11057_Transcript_2/2_Confidence_1.0_Length_2672	Contig_18727	NA	NA	comp905_c0_seq1	NA	jgi|Nemve1|184858|estExt_GenewiseH_1.C_620237	comp36431_c0_seq1	NA	FX502761.1	Unigene47663_Mix_Normal_N	NA	bu_91849.1_c493	c57952_g1_i2	NA	comp1327_c0_seq1	Spi_isotig05289	comp259770_c0_seq2
XP_015764275.1	NA	adi_EST_assem_1244	NA	NA	c004370	NA	Contig_9246	NA	comp78298_c0_seq1	NA	NA	NA	NA	NA	FX438366.1	NA	NA	NA	c56802_g1_i1	NA	NA	NA	NA
XP_015767359.1	NA	adi_EST_assem_2167	comp7726_c0_seq1	NA	c017439m	NA	Contig_2378	NA	comp3608_c0_seq1	comp18508_c0_seq2	comp8659_c0_seq1	jgi|Nemve1|242628|estExt_fgenesh1_pg.C_670098	comp44677_c0_seq1	NA	FX453587.1	NA	NA	bu_91849.1_c4825	c54510_g1_i1	comp6648_c0_seq2	NA	Spi_isotig06036	comp248867_c0_seq2
XP_015761819.1	NA	adi_EST_assem_524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FX435789.1	NA	NA	NA	c60494_g1_i4	NA	NA	NA	NA
XP_015769421.1	GASU01004591.1	adi_EST_assem_18301	comp63220_c0_seq1	NA	NA	Locus_15709_Transcript_1/1_Confidence_1.0_Length_974	Contig_17934	NA	NA	NA	comp4180_c0_seq1	NA	comp42085_c0_seq1	NA	FX802327.1	Unigene16984_Mix_Normal_N	NA	bu_91849.1_c5294	c10140_g1_i1	NA	NA	Spi_isotig05976	NA
XP_015753506.1	NA	adi_EST_assem_19499	NA	NA	c022313	NA	Contig_6342	NA	NA	comp7112_c0_seq2	NA	jgi|Nemve1|246906|estExt_fgenesh1_pg.C_2520026	NA	NA	FX440693.1	Unigene110216_Mix_Normal_N	NA	NA	c58566_g1_i4	NA	comp23714_c1_seq1	NA	comp257588_c0_seq5
XP_015771384.1	NA	adi_EST_assem_2024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp46641_c0_seq9	NA	FX440214.1	NA	NA	NA	NA	NA	NA	NA	comp263762_c1_seq1
XP_015758373.1	GASU01014477.1	adi_EST_assem_9016	comp833_c21_seq91	NA	c003360	Locus_5182_Transcript_2/2_Confidence_1.0_Length_331	Contig_28746	NA	NA	NA	comp14162_c1_seq1	jgi|Nemve1|241851|estExt_fgenesh1_pg.C_520094	comp46103_c0_seq1	NA	NA	Unigene15051_Mix_Normal_N	c17407_g1_i2	bu_91849.1_c23051	c62454_g1_i1	comp4519_c0_seq2	NA	Spi_isotig05113	comp259783_c0_seq2
XP_015768260.1	GASU01016838.1	adi_EST_assem_17824	NA	NA	c015647	NA	Contig_12891	NA	comp32728_c0_seq1	comp15927_c0_seq1	NA	NA	NA	NA	NA	Unigene88267_Mix_Normal_N	c12526_g1_i3	NA	NA	comp367320_c0_seq1	NA	NA	NA
XP_015766881.1	GASU01091851.1	adi_EST_assem_4222	NA	NA	c011609	NA	Contig_35417	isotig05382	NA	NA	NA	jgi|Nemve1|175458|estExt_gwp.C_3950008	NA	NA	NA	NA	NA	NA	c117702_g1_i1	NA	NA	NA	NA
XP_015778365.1	NA	adi_EST_assem_15634	NA	NA	NA	Locus_7098_Transcript_1/1_Confidence_1.0_Length_476	Contig_7031	NA	comp12831_c0_seq2	NA	comp14426_c0_seq5	jgi|Nemve1|94717|e_gw.37.128.1	NA	isotig09543	FX802906.1	Unigene20553_Mix_Normal_N	c15150_g1_i1	NA	c40741_g1_i1	NA	comp12507_c0_seq1	Spi_isotig07450	comp250649_c0_seq2
XP_015780143.1	GASU01015150.1	adi_EST_assem_870	comp90033_c0_seq1	NA	NA	Locus_3417_Transcript_1/3_Confidence_1.0_Length_1446	Contig_39469	NA	NA	NA	comp24132_c0_seq3	jgi|Nemve1|182641|estExt_GenewiseH_1.C_390296	comp46641_c0_seq11	NA	FX452760.1	CL681.Contig2_Mix_Normal_N	c16426_g1_i2	NA	NA	NA	comp19198_c0_seq1	Spi_isotig08843	NA
XP_015777297.1	NA	NA	comp41384_c0_seq2	NA	NA	NA	NA	NA	comp16214_c0_seq2	NA	comp19108_c0_seq1	NA	comp46172_c0_seq1	NA	FX436534.1	NA	NA	NA	c60982_g1_i4	NA	NA	NA	NA
XP_015771630.1	NA	adi_EST_assem_10079	comp1586_c2_seq6	NA	c003395	Locus_5829_Transcript_1/2_Confidence_1.0_Length_2966	NA	NA	NA	NA	comp14221_c0_seq1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
XP_015749969.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	comp263803_c0_seq13
XP_015775450.1	NA	adi_EST_assem_4709	NA	NA	c001556p	NA	NA	NA	NA	NA	NA	NA	NA	NA	FX453015.1	NA	NA	NA	c61009_g2_i1	NA	NA	NA	NA
XP_015759165.1	GASU01084558.1	adi_EST_assem_7589	NA	NA	c000664	NA	Contig_21962	NA	NA	NA	NA	NA	NA	NA	FX460653.1	CL206.Contig4_Mix_Normal_N	NA	NA	NA	NA	comp10018_c0_seq1	NA	NA
XP_015767382.1	NA	NA	NA	NA	c001382	Locus_1123_Transcript_1/2_Confidence_1.0_Length_4349	NA	NA	NA	NA	NA	NA	NA	NA	FX447674.1	NA	NA	NA	c60804_g1_i4	NA	NA	NA	comp250458_c0_seq1
