XP_015777099.1	G protein-coupled receptors
XP_015747584.1	GTPase Rab5/YPT51 and related small G protein superfamily GTPases
XP_015755009.1	Cadherin EGF LAG seven-pass G-type receptor
XP_015751194.1	G protein-coupled receptor
XP_015760452.1	Translocon-associated complex TRAP, delta subunit
XP_015752055.1	G protein-coupled receptor
XP_015764511.1	Gamma-glutamyltransferase
XP_015753418.1	Neural adherens junction protein Plakophilin and related Armadillo repeat proteins
XP_015760274.1	Oxoprolinase
XP_015754475.1	Enoyl-CoA hydratase/isomerase
XP_015778230.1	Glycoprotein hormone receptor
XP_015747552.1	Gamma-butyrobetaine,2-oxoglutarate dioxygenase
XP_015747257.1	G protein-coupled receptor
XP_015771770.1	Alpha-L-fucosidase
XP_015751184.1	Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs
XP_015759919.1	cAMP-dependent protein kinase catalytic subunit (PKA)
XP_015759836.1	Collagens (type XV)
XP_015757345.1	Predicted E3 ubiquitin ligase
XP_015774209.1	Voltage-gated Ca2+ channels, alpha1 subunits
XP_015748854.1	ATP-dependent DNA helicase
XP_015759938.1	Transforming growth factor beta/activin receptor subfamily of serine/threonine kinases
XP_015779773.1	Voltage-gated shaker-like K+ channel KCNA
XP_015764202.1	RNA helicase
XP_015749987.1	Uncharacterized conserved protein, contains laminin, cadherin and EGF domains
XP_015778661.1	Protein with predicted involvement in meiosis (GSG1)
XP_015777219.1	Discoidin domain receptor DDR1
XP_015775023.1	Transcriptional coactivator CAPER (RRM superfamily)
XP_015751772.1	GTP-binding protein SEC4, small G protein superfamily, and related Ras family GTP-binding proteins
XP_015750817.1	Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes
XP_015774747.1	Guanine nucleotide exchange factor
XP_015780350.1	Cadherin EGF LAG seven-pass G-type receptor
XP_015771997.1	N-arginine dibasic convertase NRD1 and related Zn2+-dependent endopeptidases, insulinase superfamily
XP_015765124.1	Ribosome biogenesis protein NIP7
XP_015752416.1	G protein-coupled receptor
XP_015747189.1	20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2
XP_015766596.1	MIF4G domain-containing protein
XP_015775269.1	G protein-coupled receptor
XP_015772285.1	Serine proteinase inhibitor (KU family) with thrombospondin repeats
XP_015752079.1	Neural cell adhesion molecule L1
XP_015780001.1	G protein-coupled receptor
XP_015750779.1	Predicted transposase
XP_015770385.1	Glycoprotein hormone receptor
XP_015754900.1	Protein required for fusion of vesicles in vesicular transport, gamma-SNAP
XP_015774807.1	Sugar (pentulose and hexulose) kinases
XP_015757694.1	TPR-containing nuclear phosphoprotein that regulates K(+) uptake
XP_015779436.1	Uncharacterized conserved protein, contains DEP domain
XP_015769426.1	Choline transporter-like protein
XP_015769426.1	Netrin transmembrane receptor unc-5
XP_015773052.1	Selenocysteine-specific elongation factor
XP_015770878.1	Muscarinic acetylcholine receptor
XP_015776233.1	Enoyl-CoA isomerase
XP_015752352.1	G protein-coupled receptors
XP_015765568.1	Glycosyltransferase
XP_015770010.1	Lysine-ketoglutarate reductase/saccharopine dehydrogenase
XP_015751706.1	Vitronectin receptor, alpha subunit
XP_015766245.1	Tyrosine kinase specific for activated (GTP-bound) p21cdc42Hs
XP_015764836.1	Myosin class II heavy chain
XP_015779821.1	Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes
XP_015751386.1	Uncharacterized conserved protein, contains laminin, cadherin and EGF domains
XP_015758512.1	Mab-21-like cell fate specification proteins
XP_015779311.1	RNA polymerase subunit K
XP_015753225.1	Predicted snRNP core protein
XP_015773945.1	L-type voltage-dependent Ca2+ channel, alpha2/delta subunit
XP_015774597.1	Acetylcholine receptor
XP_015775216.1	Vitronectin receptor, alpha subunit
XP_015777633.1	RNA Helicase
XP_015779575.1	Glutamate decarboxylase and related proteins
XP_015779082.1	Predicted E3 ubiquitin ligase
XP_015779082.1	Actin-binding cytoskeleton protein, filamin
XP_015775086.1	RNA-binding protein musashi/mRNA cleavage and polyadenylation factor I complex, subunit HRP1
XP_015753608.1	Ephrin, ligand for Eph receptor tyrosine kinase
XP_015778196.1	Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes
XP_015767597.1	TNF receptor-associated factor
XP_015752306.1	Uncharacterized conserved protein, contains C1, PH and RUN domains
XP_015764515.1	Receptor-activated Ca2+-permeable cation channels (STRPC family)
XP_015768723.1	Plexins (functional semaphorin receptors)
XP_015771569.1	Predicted E3 ubiquitin ligase
XP_015758514.1	Palmitoyl protein thioesterase
XP_015762816.1	Protein phosphatase 2A regulatory subunit A and related proteins
XP_015771411.1	Netrin transmembrane receptor unc-5
XP_015780521.1	Low-density lipoprotein receptors containing Ca2+-binding EGF-like domains
XP_015765550.1	Kinesin light chain
XP_015761167.1	Alpha crystallins
XP_015773349.1	Collagens (type XV)
XP_015768774.1	G protein-coupled receptor
XP_015757861.1	Predicted E3 ubiquitin ligase
XP_015773083.1	RhoA GTPase effector DIA/Diaphanous
XP_015773083.1	Neurexin III-alpha
XP_015757161.1	Ca2+-modulated nonselective cation channel polycystin
XP_015757161.1	Uncharacterized conserved protein, contains DENN and RUN domains
XP_015763834.1	Bifunctional ATP sulfurylase/adenosine 5'-phosphosulfate kinase
XP_015775060.1	Extracellular matrix glycoprotein Laminin subunit beta
XP_015756302.1	Muscarinic acetylcholine receptor
XP_015772584.1	Nerve growth factor receptor TRKA and related tyrosine kinases
XP_015772584.1	Cubilin, multiligand receptor mediating cobalamin absorption
XP_015750866.1	Peroxisomal 3-ketoacyl-CoA-thiolase P-44/SCP2
XP_015777162.1	Host cell transcription factor HCFC1
XP_015777162.1	Receptor mediating netrin-dependent axon guidance
XP_015771722.1	Muscarinic acetylcholine receptor
XP_015760736.1	RNA polymerase II, large subunit
XP_015750566.1	Zn2+ transporter
XP_015762297.1	Fatty acyl-CoA elongase/Polyunsaturated fatty acid specific elongation enzyme
