contig	genome_contig	locusName	la	lo	p.values	adj.p	geneName
XP_015751753.1	NW_015441087.1	LOC107331658	-6025.354234	-6030.429435	0.00144269778777829	0.195456696288203	PREDICTED: protein jagged-1-like
XP_015753573.1	NW_015441104.1	LOC107333297	-3148.573401	-3151.304067	0.0194418208105864	0.498606346027203	PREDICTED: DNA repair protein XRCC4-like
XP_015756016.1	NW_015441130.1	LOC107335512	-5478.064002	-5480.763584	0.02014639943147	0.505450776847325	PREDICTED: uncharacterized protein LOC107335512
XP_015777750.1	NW_015441692.1	LOC107355685	-3176.738581	-3179.356355	0.0221298358471485	0.52415212597407	PREDICTED: GDP-mannose 4,6 dehydratase-like isoform X2
XP_015769911.1	NW_015441068.1	LOC107348381	-3345.858232	-3348.363863	0.0251829428001086	0.525783402054675	PREDICTED: ELAV-like protein 1
XP_015771869.1	NW_015441445.1	LOC107350155	-2250.534944	-2253.036444	0.0253034232462096	0.525783402054675	PREDICTED: RBPJ-interacting and tubulin-associated protein 1-like
XP_015780154.1	NW_015441856.1	LOC107358038	-6094.322266	-6096.524527	0.0358437684671172	0.591210098180361	PREDICTED: sonic hedgehog protein-like
XP_015766456.1	NW_015441306.1	LOC107345268	-8826.075483	-8827.80735	0.0627285089898337	0.688515129477462	PREDICTED: nicastrin-like
XP_015779939.1	NW_015441840.1	LOC107357814	-3059.576609	-3061.207218	0.0709364184938528	0.698435027438021	PREDICTED: mothers against decapentaplegic homolog 4-like
XP_015751117.1	NW_015441082.1	LOC107331096	-5403.987067	-5405.584883	0.0738352261150718	0.711598863091866	PREDICTED: filamin-A-like
XP_015757663.1	NW_015441151.1	LOC107337062	-6899.354863	-6900.916834	0.077149937091303	0.719853545256869	PREDICTED: disabled homolog 2-interacting protein-like
XP_015758506.1	NW_015441161.1	LOC107337784	-4374.292088	-4375.820674	0.0803814559362147	0.729898099881929	PREDICTED: uncharacterized protein LOC107337784
XP_015760710.1	NW_015441195.1	LOC107339888	-2494.507298	-2495.982512	0.0858548177565026	0.747532821957003	PREDICTED: serine-threonine kinase receptor-associated protein-like
