AdigNCBI_PRO	Acervicorn_PRO	Adigitifer_PRO	Aelegantis_PRO	Ahyacinthu_PRO	Amillepora_PRO	Apallida_PRO	Apalmata_PRO	Atenuis_PRO	Fscutaria_PRO	Mauretenra_PRO	Mcavernosa_PRO	Nvectensis_PRO	Ofaveolata_PRO	Pastreoide_PRO	Paustralie_PRO	Pcarnosus_PRO	Pdaedalea_PRO	Pdamicorni_PRO	Plobata_PRO	Pstrigosa_PRO	Shystrix_PRO	Spistillat_PRO	Ssiderea_PRO
XP_015756258.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	isotig04874	NA	Unigene61713_Mix_Normal_N	c2582_g1_i1	bu_91849.1_c25243	NA	NA	NA	NA	NA
XP_015756154.1	GASU01021817.1	adi_EST_assem_19000	NA	NA	c020322	NA	Contig_5868	isotig05089	NA	comp183763_c0_seq1	NA	NA	NA	isotig04299	FX465059.1	NA	NA	NA	c61026_g1_i3	NA	NA	Spi_isotig07427	comp258187_c0_seq3
XP_015756048.1	GASU01049075.1	NA	NA	NA	c017564	NA	NA	NA	comp126420_c0_seq1	NA	NA	jgi|Nemve1|209275|fgenesh1_pg.scaffold_103000050	NA	NA	FX501908.1	NA	NA	NA	c61026_g5_i1	NA	NA	NA	comp252418_c0_seq1
XP_015760178.1	GASU01092255.1	adi_EST_assem_3698	NA	NA	c013067	NA	Contig_25203	NA	comp14884_c0_seq1	comp69800_c0_seq1	NA	jgi|Nemve1|232710|fgsh_est.C_scaffold_75000005	NA	NA	NA	NA	c12619_g1_i2	NA	c57622_g2_i2	NA	NA	NA	comp260669_c0_seq2
XP_015756943.1	NA	NA	NA	contig69103	NA	Locus_8744_Transcript_1/1_Confidence_1.0_Length_1051	NA	NA	comp104495_c0_seq1	NA	NA	NA	NA	NA	NA	Unigene61102_Mix_Normal_N	NA	NA	c61222_g2_i1	NA	NA	NA	NA
XP_015757034.1	NA	NA	comp69532_c0_seq1	NA	c004409p	NA	Contig_23588	isotig04526	comp31294_c0_seq5	comp324135_c0_seq1	comp74950_c0_seq1	jgi|Nemve1|193548|estExt_GenewiseH_1.C_3000027	NA	NA	FX799822.1	NA	c15858_g1_i2	bu_91849.1_c20791	c53047_g1_i1	NA	NA	Spi_isotig10683	comp250862_c0_seq1
XP_015757893.1	NA	NA	NA	NA	NA	Locus_8398_Transcript_5/6_Confidence_1.0_Length_1946	NA	NA	NA	comp994_c0_seq1	comp12464_c0_seq2	NA	comp43403_c0_seq4	isotig03449	FX459665.1	NA	NA	NA	c58101_g1_i3	comp21011_c0_seq1	NA	Spi_isotig06657	comp253553_c0_seq6
XP_015758362.1	GASU01041058.1	adi_EST_assem_11509	comp20766_c0_seq1	NA	NA	Locus_8398_Transcript_2/6_Confidence_1.0_Length_2477	Contig_39390	NA	comp57364_c0_seq1	NA	NA	NA	comp43403_c0_seq2	NA	FX502929.1	NA	NA	NA	c58101_g2_i1	NA	comp3811_c0_seq2	Spi_isotig06309	NA
XP_015758259.1	NA	adi_EST_assem_2981	NA	NA	c001737m	NA	Contig_35381	NA	comp23023_c0_seq1	NA	comp15264_c0_seq1	jgi|Nemve1|218474|fgenesh1_pg.scaffold_349000019	NA	NA	FX451654.1	NA	NA	NA	c52872_g1_i1	NA	NA	NA	comp254323_c0_seq2
XP_015758573.1	GASU01001919.1	NA	comp54594_c0_seq1	NA	c012241	Locus_2953_Transcript_2/2_Confidence_1.0_Length_956	NA	NA	NA	comp71179_c0_seq1	NA	NA	NA	NA	FX802529.1	NA	NA	bu_91849.1_c22278	c48420_g1_i2	NA	NA	Spi_isotig03541	comp239484_c0_seq2
XP_015758465.1	NA	NA	NA	NA	c022823	NA	NA	NA	NA	comp28542_c0_seq1	comp30982_c0_seq2	NA	comp38153_c0_seq1	NA	NA	NA	NA	NA	c45319_g1_i1	NA	NA	NA	NA
